Project,Course Code,Course Title,Course UniqueID,QuestionKey,Enrollments,Respondents,ResponseRate,Mean,Std,Value,OptionRespondents,OptionResponseRate,Comments,BenchmarkLabel1,BenchmarkMean1,BenchmarkStd1
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496793-0,99,43,43.43434525,4.488372326,0.668049514,5,25,58.139534,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496793-0,99,43,43.43434525,4.488372326,0.668049514,4,14,32.5581398,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496793-0,99,43,43.43434525,4.488372326,0.668049514,3,4,9.302325249,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496793-0,5,3,60,4.333333492,1.154700518,5,2,66.66666412,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496793-0,5,3,60,4.333333492,1.154700518,3,1,33.33333206,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496793-0,3,3,100,4.333333492,1.154700518,5,2,66.66666412,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496793-0,3,3,100,4.333333492,1.154700518,3,1,33.33333206,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496793-0,7,5,71.42857361,4.599999905,0.89442718,5,4,80,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496793-0,7,5,71.42857361,4.599999905,0.89442718,3,1,20,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.007.28585,Software Engineering Tools,wl.202110.ECE.49595.007.28585,496793-0,7,2,28.5714283,3,0,3,2,100,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496793-0,22,13,59.09090805,4.230769157,0.926808715,5,7,53.84615326,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496793-0,22,13,59.09090805,4.230769157,0.926808715,4,2,15.38461494,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496793-0,22,13,59.09090805,4.230769157,0.926808715,3,4,30.76922989,,Professors in Department,4.075089804,0.930146696
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496793-0,17,12,70.58823395,4.333333492,0.984731913,5,7,58.33333206,,Professors in Department,4.075089804,0.930146696
