QuestionKey,QuestionType,Question
496794-0,Single Selection,The class activities are well prepared and organized.
496872-0,Single Selection,The assignments aid me in achieving the class objectives.
496873-0,Single Selection,The projects or laboratories aid me in achieving the class objectives. [where relevant]
496874-0,Single Selection,The examinations aid me in achieving the class objectives. [where relevant]
496875-0,Single Selection,The instructor clearly explains material so that I can understand it.
496878-0,Single Selection,The instructor is open to my questions and effectively answers them.
496880-0,Single Selection,The instructor seems to care that I learned this material.
496882-0,Single Selection,The instructor willingly makes time to help other students and me.
496883-0,Single Selection,The instructor is fair and consistent in evaluating my performance in the course.
496793-0,Single Selection,The instructor created a welcoming and inclusive classroom environment.
657523-0,Single Selection,The assignments aid me in achieving the class objectives.
657534-0,Single Selection,The instructor communicates clearly.
657535-0,Single Selection,The instructor effectively answers students’ questions.
657536-0,Single Selection,The instructor seems to care about my learning in this course.
657537-0,Single Selection,The instructor makes time to help students.
657538-0,Single Selection,The instructor is fair in evaluating my performance in the course.
657539-0,Single Selection,The instructor created an inclusive learning environment.
737241-0,Single Selection,The course is well organized.
737242-0,Single Selection,The assignments aid me in achieving the class objectives.
737243-0,Single Selection,The projects or laboratories aid me in achieving the class objectives. [where relevant]
737244-0,Single Selection,The tests or exams aid me in achieving the course objectives. [where relevant]
737245-0,Single Selection,The instructor communicates clearly.
737246-0,Single Selection,The instructor effectively answers students’ questions.
737247-0,Single Selection,The instructor seems to care about my learning in this course.
737248-0,Single Selection,The instructor makes time to help students.
737249-0,Single Selection,The instructor is fair in evaluating my performance in the course.
737250-0,Single Selection,The instructor created an inclusive learning environment.
614817-0,Single Selection,The course is well organized.
614818-0,Single Selection,The assignments aid me in achieving the class objectives.
614819-0,Single Selection,The projects or laboratories aid me in achieving the class objectives. [where relevant]
614821-0,Single Selection,The instructor communicates clearly.
614822-0,Single Selection,The instructor effectively answers students’ questions.
614823-0,Single Selection,The instructor seems to care about my learning in this course.
614824-0,Single Selection,The instructor makes time to help students.
614825-0,Single Selection,The instructor is fair in evaluating my performance in the course.
614826-0,Single Selection,The instructor created an inclusive learning environment.
679118-0,Single Selection,The course is well organized.
679119-0,Single Selection,The assignments aid me in achieving the class objectives.
679120-0,Single Selection,The projects or laboratories aid me in achieving the class objectives. [where relevant]
679121-0,Single Selection,The instructor communicates clearly.
679122-0,Single Selection,The instructor effectively answers students’ questions.
679123-0,Single Selection,The instructor seems to care about my learning in this course.
679124-0,Single Selection,The instructor makes time to help students.
679125-0,Single Selection,The instructor is fair in evaluating my performance in the course.
